# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 17:31:56 2025
#
# User preference: *
#
# CONSTRAINT:  where (tfopwg_disp like '%kp%')
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
loc_rowid,toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
77,1067.01,201642601,KP,19h14m41.28s,288.6720050,-59d34m45.66s,-59.5793500,3.1250000,0.031,-0.031,0,6.1460000,0.029,-0.029,0,2458656.9878740,0.000501,-0.000501,0,3.1316735,0.0000033,-0.0000033,0,2.4579197,0.0815638,-0.0815638,0,14915.6943722,307.9136400,-307.9136400,0,9.4995191,0.3442331,-0.3442331,0,148.6544991,,,,890.5622134,,,,13.1686000,0.006,-0.006,0,263.6090000,1.6590000,-1.6590000,0,4351.0000000,167.0000000,-167.0000000,0,4.4380000,,,0,0.7670100,,,0,2019-08-16 20:20:44,2024-03-14 16:54:32
78,1068.01,6663331,KP,18h57m35.94s,284.3997620,-49d08m18.65s,-49.1385130,11.0960000,0.044,-0.044,0,-5.7640000,0.042,-0.042,0,2458656.6332310,0.001251,-0.001251,0,3.1803620,0.0002470,-0.0002470,0,2.1115210,0.1062580,-0.1062580,0,21192.4633240,682.4742400,-682.4742400,0,13.4464870,0.6006790,-0.6006790,0,,,,,,,,,13.2887000,0.006,-0.006,0,535.3830000,7.8145000,-7.8145000,0,5498.0000000,,,0,4.4793400,,,0,0.9200000,,,0,2019-08-16 20:20:41,2021-10-29 12:59:15
79,1069.01,31858843,KP,19h17m55.01s,289.4792120,-32d51m36.45s,-32.8601240,-16.7780000,0.108,-0.108,0,-31.8030000,0.089,-0.089,0,2460147.3787640,0.000256,-0.000256,0,2.9776446,0.0000008,-0.0000008,0,2.9620000,0.0990000,-0.0990000,0,13022.0000000,123.0520000,-123.0520000,0,14.4339000,0.7657650,-0.7657650,0,758.3240000,,,,1461.0000000,,,,10.4293000,0.006,-0.006,0,197.9960000,3.0380000,-3.0380000,0,5703.0000000,188.0000000,-188.0000000,0,4.2582400,0.2982820,-0.2982820,0,1.2200000,0.0600000,-0.0600000,0,2019-08-16 20:20:41,2023-10-16 16:02:02
80,107.01,92352620,KP,20h55m07.98s,313.7832390,-34d08m08.7s,-34.1357510,26.3760000,0.078,-0.078,0,-44.9470000,0.059,-0.059,0,2460176.9933340,0.000449,-0.000449,0,3.9502008,0.0000026,-0.0000026,0,4.4440000,0.0460000,-0.0460000,0,13914.0000000,95.9899000,-95.9899000,0,20.5357000,0.8996640,-0.8996640,0,1009.3800000,,,,1570.0000000,,,,9.6433000,0.006,-0.006,0,211.2110000,2.4835000,-2.4835000,0,6153.0000000,,,0,4.1807700,,,0,1.7100000,0.0700000,-0.0700000,0,2018-09-05 18:49:20,2023-11-15 16:02:02
82,1071.01,120247528,KP,18h40m44.2s,280.1841690,-58d27m33.8s,-58.4593880,-27.0940000,0.052,-0.052,0,-30.8970000,0.048,-0.048,0,2458655.3940590,0.000376,-0.000376,0,3.5544026,0.0000020,-0.0000020,0,2.0550535,0.0377042,-0.0377042,0,10164.8753396,290.7488700,-290.7488700,0,13.2006770,0.7620152,-0.7620152,0,515.0014435,,,,1214.9876435,,,,11.5803000,0.006,-0.006,0,290.1980000,2.9370000,-2.9370000,0,5639.0000000,188.0000000,-188.0000000,0,4.3717200,2.0038700,-2.0038700,0,1.1149900,0.0591758,-0.0591758,0,2019-08-16 20:20:42,2025-08-29 16:00:02
87,1076.01,360742636,KP,19h38m32.09s,294.6336940,-55d19m48.97s,-55.3302690,5.3820000,0.051,-0.051,0,-38.1120000,0.047,-0.047,0,2458654.1632570,0.000119,-0.000119,0,2.5495611,0.0000007,-0.0000007,0,2.6173308,0.0193336,-0.0193336,0,14921.4021936,81.9604340,-81.9604340,0,12.9171288,0.6510275,-0.6510275,0,757.1284067,,,,1337.8645148,,,,11.2474000,0.006,-0.006,0,248.4600000,2.1455000,-2.1455000,0,5659.0000000,,,0,4.4465300,,,0,1.0399700,0.0519397,-0.0519397,0,2019-08-16 20:20:48,2024-09-09 10:08:01
91,108.01,289793076,KP,21h07m50.76s,316.9614800,-26d05m48.19s,-26.0967200,3.4790000,0.063,-0.063,0,-10.3130000,0.038,-0.038,0,2458328.0838300,0.000439,-0.000439,0,3.0440541,0.0000043,-0.0000043,0,2.5984575,0.0611654,-0.0611654,0,22236.0165376,490.5109300,-490.5109300,0,12.1086799,0.2679916,-0.2679916,0,315.9871326,,,,1075.3184542,,,,13.1630000,0.010,-0.010,0,421.8550000,8.3390000,-8.3390000,0,5523.0000000,,,0,4.5219200,,,0,0.8098680,,,0,2018-09-05 18:49:20,2021-10-29 12:59:15
96,1084.01,380589029,KP,17h55m33.77s,268.8907070,-61d44m50.64s,-61.7474000,1.0310000,0.040,-0.040,0,-17.5770000,0.041,-0.041,0,2458653.9733050,0.000130,-0.000130,0,1.3484961,0.0000006,-0.0000006,0,2.4074261,0.0218727,-0.0218727,0,18463.7636682,122.7892500,-122.7892500,0,15.8824638,0.8602182,-0.8602182,0,2706.9606225,,,,1839.6713042,,,,12.2851000,0.006,-0.006,0,494.1820000,12.1740000,-12.1740000,0,6346.0000000,,,0,4.3848400,,,0,1.1475900,0.0616130,-0.0616130,0,2019-08-16 20:20:49,2024-09-09 10:08:01
102,109.01,29344935,KP,20h52m51.71s,313.2154750,-25d41m14.55s,-25.6873760,1.0530000,0.052,-0.052,0,-9.8810000,0.029,-0.029,0,2458326.1274790,0.000478,-0.000478,0,2.7667600,0.0000025,-0.0000025,0,2.6872178,0.0726354,-0.0726354,0,14947.4387827,290.8462500,-290.8462500,0,12.2867389,0.3063938,-0.3063938,0,505.8840075,,,,1209.5741229,,,,13.2366000,0.007,-0.007,0,513.0110000,9.1275000,-9.1275000,0,5346.0000000,,,0,4.4882300,,,0,0.9848660,,,0,2018-09-05 18:34:19,2024-09-09 10:08:01
114,110.01,281459670,KP,00h22m28.45s,5.6185250,-59d56m33.32s,-59.9425890,-22.3090000,0.036,-0.036,0,-4.8930000,0.034,-0.034,0,2458328.0399340,0.000227,-0.000227,0,3.1743504,0.0000017,-0.0000017,0,2.7510860,0.0309315,-0.0309315,0,15457.3247576,155.0502500,-155.0502500,0,14.9172256,0.8283901,-0.8283901,0,718.9096994,,,,1320.6518234,,,,11.6714000,0.006,-0.006,0,342.1400000,2.9120000,-2.9120000,0,5943.0000000,,,0,4.4252400,,,0,1.1570600,0.0633669,-0.0633669,0,2018-11-14 15:06:55,2024-09-09 10:08:01
125,111.01,355703913,KP,00h03m05.88s,0.7744870,-62d28m09.54s,-62.4693170,2.8940000,0.024,-0.024,0,4.9110000,0.025,-0.025,0,2458326.1054860,0.000396,-0.000396,0,2.1061569,0.0000026,-0.0000026,0,1.4688934,0.0562780,-0.0562780,0,12142.2238514,514.4283000,-514.4283000,0,13.0868720,2.5122080,-2.5122080,0,691.8428073,,,,1308.0417533,,,,13.1830000,0.006,-0.006,0,508.8420000,3.8960000,-3.8960000,0,5380.0000000,,,0,4.4337000,,,0,0.9406970,,,0,2018-10-22 18:35:39,2024-03-14 16:54:32
136,112.01,388104525,KP,03h43m44.07s,55.9336390,-65d11m37.61s,-65.1937800,21.1260000,0.032,-0.032,0,16.5430000,0.043,-0.043,0,2460069.7736460,0.000365,-0.000365,0,2.4997996,0.0000004,-0.0000004,0,2.8651710,0.0097803,-0.0097803,0,14621.2059647,38.3429070,-38.3429070,0,13.8516093,0.7051293,-0.7051293,0,907.8624196,,,,1399.9894384,,,,11.6035000,0.006,-0.006,0,302.4480000,2.0040000,-2.0040000,0,5650.0000000,,,0,4.2886700,,,0,1.1373200,0.0577764,-0.0577764,0,2019-05-07 17:42:43,2023-08-10 16:02:02
147,113.01,97409519,KP,22h10m51.44s,332.7143370,-30d44m58.99s,-30.7497190,-0.7100000,0.052,-0.052,0,-14.5160000,0.049,-0.049,0,2458327.0530850,0.000623,-0.000623,0,3.3728770,0.0001470,-0.0001470,0,2.6342600,0.0436440,-0.0436440,0,17163.6041900,212.4058700,-212.4058700,0,14.2018030,0.1547890,-0.1547890,0,615.1659210,,,,1270.1874480,,,,12.1893000,0.006,-0.006,0,448.6370000,7.5080000,-7.5080000,0,6050.0000000,,,0,4.4506100,,,0,1.0200000,,,0,2018-09-05 18:49:20,2021-10-29 12:59:15
162,114.01,25155310,KP,04h13m29.93s,63.3747060,-69d13m35.73s,-69.2265930,63.1340000,0.045,-0.045,0,53.4330000,0.039,-0.039,0,2458327.5199580,0.000061,-0.000061,0,3.2887898,0.0000003,-0.0000003,0,3.4367717,0.0099877,-0.0099877,0,7005.7247902,13.7955580,-13.7955580,0,10.5135877,0.5185372,-0.5185372,0,759.3373533,,,,1338.8392647,,,,10.6103000,0.006,-0.006,0,216.5260000,0.9320000,-0.9320000,0,5800.0000000,,,0,4.2800400,,,0,1.2417500,0.0610804,-0.0610804,0,2019-05-07 17:42:34,2024-09-09 10:08:01
167,1144.01,28230919,KP,19h50m50.44s,297.7101760,+48d04m54.71s,48.0818640,125.9840000,0.041,-0.041,0,232.9880000,0.045,-0.045,0,2460554.3470220,0.000146,-0.000146,0,4.8878037,0.0000009,-0.0000009,0,2.1840000,0.0820000,-0.0820000,0,4279.0000000,24.5064000,-24.5064000,0,5.2915200,0.3366840,-0.3366840,0,71.6805000,,,,810.0000000,,,,8.5077000,0.006,-0.006,0,37.7647000,0.0336500,-0.0336500,0,4757.3000000,130.6000000,-130.6000000,0,4.5600000,0.0900000,-0.0900000,0,0.7600000,0.0500000,-0.0500000,0,2019-08-27 16:09:25,2024-11-14 10:08:02
171,1148.01,349827430,KP,10h47m38.17s,161.9090270,+71d39m20.62s,71.6557270,-56.1840000,0.053,-0.053,0,-34.8080000,0.064,-0.064,0,2460361.3665210,0.000347,-0.000347,0,5.5514888,0.0000027,-0.0000027,0,4.3350000,0.4540000,-0.4540000,0,9493.0000000,66.1719000,-66.1719000,0,15.8043000,0.6229680,-0.6229680,0,802.8580000,,,,1482.0000000,,,,7.9179000,0.006,-0.006,0,96.5173000,0.3122500,-0.3122500,0,6403.9000000,184.1000000,-184.1000000,0,4.1600000,0.0800000,-0.0800000,0,1.5500000,0.0600000,-0.0600000,0,2019-08-27 16:09:25,2024-05-17 10:08:01
173,115.01,281541555,KP,00h26m48.63s,6.7026400,-56d18m57.97s,-56.3161020,21.4600000,0.027,-0.027,0,7.3160000,0.024,-0.024,0,2458329.9031550,0.000542,-0.000542,0,4.7423709,0.0000031,-0.0000031,0,2.4988145,0.0665051,-0.0665051,0,12650.8110411,246.2377800,-246.2377800,0,10.5505922,0.2049905,-0.2049905,0,209.7699043,,,,970.6340996,,,,13.0417000,0.006,-0.006,0,453.8080000,3.8940000,-3.8940000,0,5377.0000000,185.0000000,-185.0000000,0,4.4247600,2.0040100,-2.0040100,0,0.8775850,,,0,2018-10-22 18:35:28,2024-09-09 10:08:01
